gender,outfit_style,wardrobe_type,footwear,lifestyle_activity,text_features
Female,Sporty,Jeans,Heels,Shopping,Female Sporty Jeans Heels Shopping
Male,Bohemian,Suit,Sneakers,Office Work,Male Bohemian Suit Sneakers Office Work
Other,Bohemian,Dress,Sandals,Hiking,Other Bohemian Dress Sandals Hiking
Male,Streetwear,T-shirt,Heels,Gym,Male Streetwear T-shirt Heels Gym
Male,Formal,Jumpsuit,Sneakers,Sports,Male Formal Jumpsuit Sneakers Sports
Non-binary,Casual,Jeans,Heels,Shopping,Non-binary Casual Jeans Heels Shopping
Other,Sporty,Hoodie,Flats,Hiking,Other Sporty Hoodie Flats Hiking
Male,Formal,Dress,Flats,Casual Outing,Male Formal Dress Flats Casual Outing
Female,Vintage,Shorts,Dress Shoes,Casual Outing,Female Vintage Shorts Dress Shoes Casual Outing
Male,Formal,Dress,Sneakers,Travel,Male Formal Dress Sneakers Travel
Other,Athleisure,Hoodie,Loafers,Sports,Other Athleisure Hoodie Loafers Sports
Other,Casual,Suit,Running Shoes,Hiking,Other Casual Suit Running Shoes Hiking
Non-binary,Formal,Shorts,Running Shoes,Shopping,Non-binary Formal Shorts Running Shoes Shopping
Female,Bohemian,Tracksuit,Running Shoes,Casual Outing,Female Bohemian Tracksuit Running Shoes Casual Outing
Non-binary,Streetwear,Jeans,Dress Shoes,Travel,Non-binary Streetwear Jeans Dress Shoes Travel
Female,Sporty,Blazer,Dress Shoes,Travel,Female Sporty Blazer Dress Shoes Travel
Male,Business Casual,Sweater,Heels,Beach,Male Business Casual Sweater Heels Beach
Other,Casual,Jeans,Flip-flops,Travel,Other Casual Jeans Flip-flops Travel
Other,Bohemian,T-shirt,Heels,Beach,Other Bohemian T-shirt Heels Beach
Other,Formal,Tracksuit,Flip-flops,Party,Other Formal Tracksuit Flip-flops Party
Female,Formal,Jumpsuit,Loafers,Travel,Female Formal Jumpsuit Loafers Travel
Other,Business Casual,Tracksuit,Flip-flops,Shopping,Other Business Casual Tracksuit Flip-flops Shopping
Male,Business Casual,Blazer,Sandals,Beach,Male Business Casual Blazer Sandals Beach
Male,Streetwear,Dress,Dress Shoes,Sports,Male Streetwear Dress Dress Shoes Sports
Female,Formal,Shorts,Flip-flops,Casual Outing,Female Formal Shorts Flip-flops Casual Outing
Non-binary,Vintage,Hoodie,Dress Shoes,Sports,Non-binary Vintage Hoodie Dress Shoes Sports
Female,Streetwear,Sweater,Running Shoes,Office Work,Female Streetwear Sweater Running Shoes Office Work
Female,Bohemian,Blazer,Flats,Shopping,Female Bohemian Blazer Flats Shopping
Female,Bohemian,Tracksuit,Flip-flops,Travel,Female Bohemian Tracksuit Flip-flops Travel
Non-binary,Athleisure,Shorts,Dress Shoes,Gym,Non-binary Athleisure Shorts Dress Shoes Gym
Male,Casual,Hoodie,Dress Shoes,Sports,Male Casual Hoodie Dress Shoes Sports
Non-binary,Casual,Jumpsuit,Flats,Hiking,Non-binary Casual Jumpsuit Flats Hiking
Other,Bohemian,Shorts,Loafers,Hiking,Other Bohemian Shorts Loafers Hiking
Other,Athleisure,Jumpsuit,Sandals,Sports,Other Athleisure Jumpsuit Sandals Sports
Female,Vintage,Hoodie,Heels,Office Work,Female Vintage Hoodie Heels Office Work
Male,Business Casual,Jumpsuit,Flats,Gym,Male Business Casual Jumpsuit Flats Gym
Male,Vintage,Blazer,Flip-flops,Gym,Male Vintage Blazer Flip-flops Gym
